OBJECTID,School Name,District,DPI Unique ID,School Type,Agency Type,Grade Range,School Style,Choice School?,Full Address,School Website,Lowest Grade,Highest Grade,CESA,District ID,School Code,Choice Reporting Type,Virtual?,Physical Street Address,City,State,ZIP Code,County,Locale Code,Locale,Latitude,Longitude,Wisconsin State Assembly,Wisconsin State Senate,US Congressional,x,y
28,Badger State Baptist School,Oak Creek-Franklin Joint,S40180105,Combined Elementary/Secondary School,Private school,K4-12,Unknown,Yes,"8519 S 13th St  Oak Creek, WI 53154",,K4,12,1,4018,0105,Voucher Students,No,8519 S 13th St,Oak Creek,WI,53154,Milwaukee,21,Suburb - Large,42.889952,-87.93349898,21,7,1,688740.136,270665.778899999
29,Bay City Christian School,Green Bay Area Public,S22890120,Combined Elementary/Secondary School,Private school,K4-12,Unknown,Yes,"1840 Bond St  Green Bay, WI 54303-4604",https://www.baycitychristian.org,K4,12,7,2289,0120,All Students,No,1840 Bond St,Green Bay,WI,54303-4604,Brown,12,City - Midsize,44.54140502,-88.06664802,89,30,8,673588.8289,453826.3167
30,Beautiful Savior Lutheran School,Waukesha,S61741115,Elementary School,Private school,K4-08,Unknown,Yes,"1205 S East Ave  Waukesha, WI 53186-6666",https://www.beautifulsaviorwaukesha.org,K4,08,1,6174,1115,Voucher Students,No,1205 S East Ave,Waukesha,WI,53186-6666,Waukesha,13,City - Small,42.991154,-88.22636703,82,28,5,664588.2953,281358.721999999
31,Believers in Christ Christian Academy,Milwaukee,S36191303,Combined Elementary/Secondary School,Private school,K4-12,Unknown,Yes,"4065 N 25th St  Milwaukee, WI 53209-6611",https://,K4,12,1,3619,1303,Voucher Students,No,4065 N 25th St,Milwaukee,WI,53209-6611,Milwaukee,11,City - Large,43.091296,-87.945238,10,4,4,687234.5354,293002.2082
32,Berean Baptist Christian School,Galesville-Ettrick-Trempealeau,S20090132,Combined Elementary/Secondary School,Private school,KG-12,Unknown,No,"N20601 US Highway 53  Galesville, WI 54630-8636",,KG,12,4,2009,0132,,No,N20601 US Highway 53,Galesville,WI,54630-8636,Trempealeau,42,Rural - Distant,44.13743002,-91.34026996,94,32,3,412793.0811,408010.3478
33,Bethany Evangelical Lutheran School,Manitowoc,S32900135,Elementary School,Private school,KG-08,Unknown,Yes,"3209 Meadow Ln  Manitowoc, WI 54220-3643",https://www.bethanyeagles.org,KG,08,7,3290,0135,Voucher Students,No,3209 Meadow Ln,Manitowoc,WI,54220-3643,Manitowoc,32,Town - Distant,44.09466802,-87.68811298,25,9,6,705060.1778,404986.2228
34,Bethany Lutheran School,Hustisford,S26250160,Elementary School,Private school,K4-08,Unknown,Yes,"280 N Ridge St  Hustisford, WI 53034-0387",https://www.bethanyhustisford.com,K4,08,6,2625,0160,Voucher Students,No,280 N Ridge St,Hustisford,WI,53034-0387,Dodge,42,Rural - Distant,43.34903275,-88.60155991,38,13,5,633337.909,320525.0178
35,Bethel Christian School,Eau Claire Area,S15540166,Combined Elementary/Secondary School,Private school,01-12,Unknown,No,"2361 N Hastings Way  Eau Claire, WI 54703-1796",https://www.bethelec.org,01,12,10,1554,0166,,No,2361 N Hastings Way,Eau Claire,WI,54703-1796,Eau Claire,13,City - Small,44.84123898,-91.47190599,91,31,3,403671.281,486368.067299999
36,Bethlehem Evangelical Lutheran School,Menomonee Falls,S34370210,Middle School,Private school,05-08,Unknown,Yes,"N84W15252 Menomonee Ave  Menomonee Falls, WI 53051-3152",https://www.bethlehem-wels.org,05,08,1,3437,0210,Voucher Students,No,N84W15252 Menomonee Ave,Menomonee Falls,WI,53051-3152,Waukesha,21,Suburb - Large,43.17057698,-88.09930803,24,8,5,674494.8839,301510.9274
37,Bethlehem Evangelical Lutheran School,Germantown,S20581367,Elementary School,Private school,K4-04,Unknown,Yes,"N108W14290 Bel Aire Ln  Germantown, WI 53022",https://www.bethlehem-wels.org,K4,04,1,2058,1367,Voucher Students,No,N108W14290 Bel Aire Ln,Germantown,WI,53022,Washington,21,Suburb - Large,43.2145795,-88.08719811,24,8,5,675367.5394,306420.0943
38,Bethlehem Lutheran School,Sheboygan Area,S52710230,Elementary School,Private school,K4-08,Unknown,Yes,"1121 Georgia Ave  Sheboygan, WI 53081-5311",https://www.ourbethlehem.com/school-home.cfm,K4,08,7,5271,0230,Voucher Students,No,1121 Georgia Ave,Sheboygan,WI,53081-5311,Sheboygan,13,City - Small,43.73962699,-87.718906,26,9,6,703684.7821,365483.160800001
39,Bethlehem Lutheran School,Hortonville Area,S25830200,Elementary School,Private school,K4-08,Unknown,No,"126 N Pine  Hortonville, WI 54944",https://www.bethlehem-wels.com,K4,08,6,2583,0200,,No,126 N Pine,Hortonville,WI,54944,Outagamie,41,Rural - Fringe,44.33563801,-88.63863899,56,19,8,628528.9894,430053.6676
40,Black River Mennonite School,Thorp,S57260236,Elementary School,Private school,01-08,Unknown,No,"N13601 Resewood Ave  Withee, WI 54498-9201",,01,08,10,5726,0236,,No,N13601 Resewood Ave,Withee,WI,54498-9201,Clark,43,Rural - Remote,44.91169998,-90.67925204,69,23,7,466382.3794,493365.8574
41,Blessed Carlo Acutis Academy,Middleton-Cross Plains Area,S35491899,Combined Elementary/Secondary School,Private school,05-12,Unknown,No,"702 S High Point Rd  Madison, WI 53719-4925",https://madisondiocese.org/bca,05,12,2,3549,1899,,No,702 S High Point Rd,Madison,WI,53719-4925,Dane,11,City - Large,43.05112602,-89.52246198,80,27,2,558891.0809,286602.918199999
42,Blessed Sacrament Catholic School,Milwaukee,S36191304,Elementary School,Private school,K4-08,Unknown,Yes,"3126 S 41st St  Milwaukee, WI 53215-4027",https://www.blessedsacramentmke.org,K4,08,1,3619,1304,Voucher Students,No,3126 S 41st St,Milwaukee,WI,53215-4027,Milwaukee,11,City - Large,42.98799398,-87.96489901,7,3,4,685912.5284,281491.0748
