OBJECTID,School Name,District,School Type,Agency Type,Grade Range,Lowest Grade,Highest Grade,School Style,Charter?,Virtual?,CESA,District ID,School Code,DPI Unique Join Code,NCES Code,NCES District Code,NCES School Code,Full Address,Physical Street Address,City,State,ZIP Code,County of District Office,Locale Code,Locale,School Website,Wisconsin Assembly District,Wisconsin Senate District,US Congressional District,County (Physical),Latitude,Longitude,x,y
743,Hartford High,Hartford UHS,High School,Public school,09-12,09,12,Regular,No,No,6,2436,0020,S24360020,550612000677,5506120,00677,"805 Cedar St  Hartford, WI 53027-2399",805 Cedar St,Hartford,WI,53027-2399,Washington,31,Town - Fringe,https://www.huhs.org,98,33,5,Washington,43.306598,-88.38717037,650804.6174,316125.8323
744,Harvest Intermediate School,De Forest Area,Elementary School,Public school,04-06,04,06,Regular,No,No,2,1316,0120,S13160120,550318003152,5503180,03152,"6781 North Towne Rd  DeForest, WI 53532",6781 North Towne Rd,DeForest,WI,53532,Dane,21,Suburb - Large,https://www.deforestschools.org/harvest,42,14,2,Dane,43.21940393,-89.32909634,574489.3579,305398.167199999
745,Harvey Elementary,Kenosha,Elementary School,Public school,PK-05,K4,05,Regular,No,No,1,2793,0240,S27930240,550732000810,5507320,00810,"2012 19th Ave  Kenosha, WI 53140-4722",2012 19th Ave,Kenosha,WI,53140-4722,Kenosha,13,City - Small,https://www.kusd.edu,64,22,1,Kenosha,42.61999016,-87.83351754,697674.323,240891.9026
746,Hatley Elementary,D C Everest Area,Elementary School,Public school,PK-05,K4,05,Regular,No,No,9,4970,0060,S49700060,551317001738,5513170,01738,"417 Emmonsville Rd  Hatley, WI 54440-9769",417 Emmonsville Rd,Hatley,WI,54440-9769,Marathon,42,Rural - Distant,https://www.dce.k12.wi.us,87,29,7,Marathon,44.88809942,-89.33605453,572430.8225,490734.180299999
747,Haugen Elementary,Rice Lake Area,Elementary School,Public school,K4-04,K4,04,Regular,No,No,11,4802,0060,S48020060,551281001693,5512810,01693,"615 5th St W  Haugen, WI 54841",615 5th St W,Haugen,WI,54841,Barron,42,Rural - Distant,https://www.ricelake.k12.wi.us,67,23,7,Barron,45.61079472,-91.78352544,380932.8595,572352.583000001
748,Hawley Environmental School,Milwaukee,Elementary School,Public school,PK-05,K4,05,Regular,No,No,1,3619,0211,S36190211,550960001184,5509600,01184,"5610 W Wisconsin Ave  Milwaukee, WI 53213-4258",5610 W Wisconsin Ave,Milwaukee,WI,53213-4258,Milwaukee,11,City - Large,https://www.milwaukee.k12.wi.us,18,6,4,Milwaukee,43.03923784,-87.983384,684268.7929,287145.5339
749,Hawthorn Hills Elementary,Wausau,Elementary School,Public school,PK-05,K4,05,Regular,No,No,9,6223,0110,S62230110,551590002365,5515900,02365,"1600 Kickbusch St  Wausau, WI 54403-1600",1600 Kickbusch St,Wausau,WI,54403-1600,Marathon,13,City - Small,https://www.wausauschools.org,85,29,7,Marathon,44.95669799,-89.60607295,551070.8549,498215.5845
750,Hawthorne Elementary,Madison Metropolitan,Elementary School,Public school,K4-05,K4,05,Regular,No,No,2,3269,0048,S32690048,550852002410,5508520,02410,"3344 Concord Ave  Madison, WI 53714-1134",3344 Concord Ave,Madison,WI,53714-1134,Dane,11,City - Large,https://hawthorne.madison.k12.wi.us/,76,26,2,Dane,43.111987,-89.3279296,574679.8459,293470.059800001
751,Hawthorne Elementary,Milwaukee,Elementary School,Public school,PK-05,K4,05,Regular,No,No,1,3619,0212,S36190212,550960001185,5509600,01185,"6945 N 41st St  Milwaukee, WI 53209-2204",6945 N 41st St,Milwaukee,WI,53209-2204,Milwaukee,11,City - Large,https://www.milwaukee.k12.wi.us,11,4,4,Milwaukee,43.14396536,-87.96377552,685583.6045,298814.6061
752,Hawthorne Elementary,Waukesha,Elementary School,Public school,K4-05,K4,05,Regular,No,No,1,6174,0140,S61740140,551578003126,5515780,03126,"1111Maitland Dr  Waukesha, WI 53188-2361",1111Maitland Dr,Waukesha,WI,53188-2361,Waukesha,13,City - Small,https://www.waukesha.k12.wi.us,82,28,5,Waukesha,43.02604115,-88.24733406,662798.1401,285197.136399999
753,Hayes Bilingual School,Milwaukee,Elementary School,Public school,PK-08,K4,08,Regular,No,No,1,3619,0214,S36190214,550960000680,5509600,00680,"971 W Windlake Ave  Milwaukee, WI 53204-3822",971 W Windlake Ave,Milwaukee,WI,53204-3822,Milwaukee,11,City - Large,https://www.milwaukee.k12.wi.us,8,3,4,Milwaukee,43.00801831,-87.92347976,689234.3698,283797.4958
